80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- --- 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbolr .-.
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- --- .-. 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- --- .-. .-.. 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbold -..
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- --- .-. .-.. -.. 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbol. .-.-.-
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     .-- --- .-. .-.. -.. .-.-.- 
80334 [main] DEBUG MorseCodeTranslator  - Ended the sentence translation
114588 [main] DEBUG MorseCodeTranslator  - Beginning the sentence translation
114588 [main] DEBUG MorseCodeTranslator  - Sentencei love java.
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymboli ..
114588 [main] DEBUG MorseCodeTranslator  - translation.. 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbol     
114588 [main] DEBUG MorseCodeTranslator  - translation..     
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbolv ...-
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbole .
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- . 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbol     
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbolj .---
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     .--- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbola .-
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     .--- .- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbolv ...-
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     .--- .- ...- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbola .-
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     .--- .- ...- .- 
114588 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
114588 [main] DEBUG MorseCodeTranslator  - getSymbol. .-.-.-
114588 [main] DEBUG MorseCodeTranslator  - translation..     .-.. --- ...- .     .--- .- ...- .- .-.-.- 
114588 [main] DEBUG MorseCodeTranslator  - Ended the sentence translation
156140 [main] DEBUG MorseCodeTranslator  - Beginning the sentence translation
156140 [main] DEBUG MorseCodeTranslator  - Sentencethe quick brown fox jumped over the lazy dog.
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolt -
156140 [main] DEBUG MorseCodeTranslator  - translation- 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolh ....
156140 [main] DEBUG MorseCodeTranslator  - translation- .... 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbole .
156140 [main] DEBUG MorseCodeTranslator  - translation- .... . 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbol     
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolq --.-
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolu ..-
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymboli ..
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolc -.-.
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. 
156140 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156140 [main] DEBUG MorseCodeTranslator  - getSymbolk -.-
156140 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.- 
